"id","source_filename","public_filename","public_path"
"hand_on_own_thigh","pose_retake_auto_hand_on_own_thigh_001.webp","pose-hand-on-own-thigh.webp","/assets/dictionary/pose/female/pose-hand-on-own-thigh.webp"
"hand_on_own_waist","pose_hand_on_own_waist_001.webp","pose-hand-on-own-waist.webp","/assets/dictionary/pose/female/pose-hand-on-own-waist.webp"
"hand_over_mouth","pose_hand_over_mouth_003.webp","pose-hand-over-mouth.webp","/assets/dictionary/pose/female/pose-hand-over-mouth.webp"
"hands_in_own_hair","pose_hands_in_own_hair_002.webp","pose-hands-in-own-hair.webp","/assets/dictionary/pose/female/pose-hands-in-own-hair.webp"
"hands_in_pockets","pose_hands_in_pockets_004.webp","pose-hands-in-pockets.webp","/assets/dictionary/pose/female/pose-hands-in-pockets.webp"
"hands_on_own_cheeks","pose_retake_auto_hands_on_own_cheeks_002.webp","pose-hands-on-own-cheeks.webp","/assets/dictionary/pose/female/pose-hands-on-own-cheeks.webp"
"hands_on_own_chest","pose_hands_on_own_chest_003.webp","pose-hands-on-own-chest.webp","/assets/dictionary/pose/female/pose-hands-on-own-chest.webp"
"hands_on_own_chin","pose_hands_on_own_chin_002.webp","pose-hands-on-own-chin.webp","/assets/dictionary/pose/female/pose-hands-on-own-chin.webp"
"hands_on_own_face","pose_hands_on_own_face_001.webp","pose-hands-on-own-face.webp","/assets/dictionary/pose/female/pose-hands-on-own-face.webp"
"hands_on_own_head","pose_hands_on_own_head_003.webp","pose-hands-on-own-head.webp","/assets/dictionary/pose/female/pose-hands-on-own-head.webp"
"hands_on_own_hips","pose_hands_on_own_hips_001.webp","pose-hands-on-own-hips.webp","/assets/dictionary/pose/female/pose-hands-on-own-hips.webp"
"hands_on_own_stomach","pose_hands_on_own_stomach_002.webp","pose-hands-on-own-stomach.webp","/assets/dictionary/pose/female/pose-hands-on-own-stomach.webp"
"hands_on_own_thighs","pose_retake_auto_hands_on_own_thighs_003.webp","pose-hands-on-own-thighs.webp","/assets/dictionary/pose/female/pose-hands-on-own-thighs.webp"
"hands_on_own_waist","pose_hands_on_own_waist_004.webp","pose-hands-on-own-waist.webp","/assets/dictionary/pose/female/pose-hands-on-own-waist.webp"
"hands_up","pose_hands_up.webp","pose-hands-up.webp","/assets/dictionary/pose/female/pose-hands-up.webp"
"head_on_pillow","pose_head_on_pillow_004.webp","pose-head-on-pillow.webp","/assets/dictionary/pose/female/pose-head-on-pillow.webp"
"heart_hands","pose_heart_hands_001.webp","pose-heart-hands.webp","/assets/dictionary/pose/female/pose-heart-hands.webp"
"hugging_own_arms","pose_hugging_own_arms_001.webp","pose-hugging-own-arms.webp","/assets/dictionary/pose/female/pose-hugging-own-arms.webp"
"hugging_own_legs","pose_hugging_own_legs_001.webp","pose-hugging-own-legs.webp","/assets/dictionary/pose/female/pose-hugging-own-legs.webp"
"indian_style","pose_indian_style_004.webp","pose-indian-style.webp","/assets/dictionary/pose/female/pose-indian-style.webp"
"interlocked_fingers","pose_interlocked_fingers_004.webp","pose-interlocked-fingers.webp","/assets/dictionary/pose/female/pose-interlocked-fingers.webp"
"jumping","pose_jumping_002.webp","pose-jumping.webp","/assets/dictionary/pose/female/pose-jumping.webp"
"kicking","pose_retake_auto_kicking_002.webp","pose-kicking.webp","/assets/dictionary/pose/female/pose-kicking.webp"
"knee_up","pose_knee_up_003.webp","pose-knee-up.webp","/assets/dictionary/pose/female/pose-knee-up.webp"
"kneeling","pose_kneeling_002.webp","pose-kneeling.webp","/assets/dictionary/pose/female/pose-kneeling.webp"
"knees_apart","pose_knees_apart_003.webp","pose-knees-apart.webp","/assets/dictionary/pose/female/pose-knees-apart.webp"
"knees_up","pose_knees_up_001.webp","pose-knees-up.webp","/assets/dictionary/pose/female/pose-knees-up.webp"
"leaning_back_sitting","pose_leaning_back_sitting.webp","pose-leaning-back-sitting.webp","/assets/dictionary/pose/female/pose-leaning-back-sitting.webp"
"leaning_forward","pose_leaning_forward_001.webp","pose-leaning-forward.webp","/assets/dictionary/pose/female/pose-leaning-forward.webp"
"leaning_to_the_side","pose_leaning_to_the_side_002.webp","pose-leaning-to-the-side.webp","/assets/dictionary/pose/female/pose-leaning-to-the-side.webp"
"leg_lift","pose_leg_lift.webp","pose-leg-lift.webp","/assets/dictionary/pose/female/pose-leg-lift.webp"
"legs_apart","pose_legs_apart_001.webp","pose-legs-apart.webp","/assets/dictionary/pose/female/pose-legs-apart.webp"
"legs_folded","pose_legs_folded_003.webp","pose-legs-folded.webp","/assets/dictionary/pose/female/pose-legs-folded.webp"
"licking_finger","pose_licking_finger_002.webp","pose-licking-finger.webp","/assets/dictionary/pose/female/pose-licking-finger.webp"
"looking_back","pose_looking_back.webp","pose-looking-back.webp","/assets/dictionary/pose/female/pose-looking-back.webp"
"lounging","pose_lounging_001.webp","pose-lounging.webp","/assets/dictionary/pose/female/pose-lounging.webp"
"lying","pose_lying_003.webp","pose-lying.webp","/assets/dictionary/pose/female/pose-lying.webp"
"ok_sign","pose_ok_sign_004.webp","pose-ok-sign.webp","/assets/dictionary/pose/female/pose-ok-sign.webp"
"on_back","pose_retake_auto_on_back_004.webp","pose-on-back.webp","/assets/dictionary/pose/female/pose-on-back.webp"
"on_bed","pose_retake_auto_on_bed_001.webp","pose-on-bed.webp","/assets/dictionary/pose/female/pose-on-bed.webp"
"on_chair","pose_on_chair_004.webp","pose-on-chair.webp","/assets/dictionary/pose/female/pose-on-chair.webp"
"on_floor","pose_on_floor_003.webp","pose-on-floor.webp","/assets/dictionary/pose/female/pose-on-floor.webp"
"on_ground","pose_on_ground_002.webp","pose-on-ground.webp","/assets/dictionary/pose/female/pose-on-ground.webp"
"on_one_knee","pose_on_one_knee_004.webp","pose-on-one-knee.webp","/assets/dictionary/pose/female/pose-on-one-knee.webp"
"on_side","pose_on_side_004.webp","pose-on-side.webp","/assets/dictionary/pose/female/pose-on-side.webp"
"on_stomach","pose_on_stomach_002.webp","pose-on-stomach.webp","/assets/dictionary/pose/female/pose-on-stomach.webp"
"one_arm_across_chest","pose_one_arm_across_chest_002.webp","pose-one-arm-across-chest.webp","/assets/dictionary/pose/female/pose-one-arm-across-chest.webp"
"one_knee_up","pose_one_knee_up_003.webp","pose-one-knee-up.webp","/assets/dictionary/pose/female/pose-one-knee-up.webp"
"one_leg_bent","pose_one_leg_bent_001.webp","pose-one-leg-bent.webp","/assets/dictionary/pose/female/pose-one-leg-bent.webp"
"one_leg_up","pose_one_leg_up_004.webp","pose-one-leg-up.webp","/assets/dictionary/pose/female/pose-one-leg-up.webp"
"outstretched_arm","pose_outstretched_arm.webp","pose-outstretched-arm.webp","/assets/dictionary/pose/female/pose-outstretched-arm.webp"
"outstretched_arms","pose_outstretched_arms.webp","pose-outstretched-arms.webp","/assets/dictionary/pose/female/pose-outstretched-arms.webp"
"outstretched_hand","pose_outstretched_hand_002.webp","pose-outstretched-hand.webp","/assets/dictionary/pose/female/pose-outstretched-hand.webp"
"own_hands_clasped","pose_retake_auto_own_hands_clasped_003.webp","pose-own-hands-clasped.webp","/assets/dictionary/pose/female/pose-own-hands-clasped.webp"
"palms_together","pose_palms_together_002.webp","pose-palms-together.webp","/assets/dictionary/pose/female/pose-palms-together.webp"
"peace_sign","pose_peace_sign_004.webp","pose-peace-sign.webp","/assets/dictionary/pose/female/pose-peace-sign.webp"
"pigeon_toed","pose_pigeon_toed_002.webp","pose-pigeon-toed.webp","/assets/dictionary/pose/female/pose-pigeon-toed.webp"
"playing_with_own_hair","pose_playing_with_own_hair_003.webp","pose-playing-with-own-hair.webp","/assets/dictionary/pose/female/pose-playing-with-own-hair.webp"
"pointing","pose_retake_auto_pointing_002.webp","pose-pointing.webp","/assets/dictionary/pose/female/pose-pointing.webp"
"pointing_at_viewer","pose_pointing_at_viewer_004.webp","pose-pointing-at-viewer.webp","/assets/dictionary/pose/female/pose-pointing-at-viewer.webp"
